,Unnamed: 0,l1,l2,numColexified,numMatchingColexified,n_overlapConcepts,n_overlapConceptPairs,l1_iso2,l2_iso2
1252,1252,wels1247,bash1264,20,451485,951,451725,cy,ba
1253,1253,wels1247,tata1255,24,451500,951,451725,cy,tt
1254,1254,wels1247,chuv1255,19,450503,950,450775,cy,cv
1255,1255,wels1247,yaku1245,19,451426,951,451725,cy,sah
1256,1256,wels1247,kalm1243,14,450558,950,450775,cy,xal
1257,1257,wels1247,kore1280,13,442100,941,442270,cy,ko
1258,1258,wels1247,nucl1643,20,451500,951,451725,cy,ja
1259,1259,wels1247,nucl1305,12,451546,951,451725,cy,kn
1260,1260,wels1247,mala1464,20,451571,951,451725,cy,ml
1261,1261,wels1247,nucl1302,10,451555,951,451725,cy,ka
1262,1262,wels1247,abkh1244,20,432669,931,432915,cy,ab
1263,1263,wels1247,hebr1245,15,451543,951,451725,cy,he
1264,1264,wels1247,mand1415,18,446772,946,446985,cy,zh
1265,1265,bret1244,dani1285,16,437386,936,437580,br,da
1266,1266,bret1244,swed1254,11,438320,937,438516,br,sv
1267,1267,bret1244,stan1293,10,438310,937,438516,br,en
1268,1268,bret1244,dutc1256,24,438328,937,438516,br,nl
1269,1269,bret1244,stan1295,9,438344,937,438516,br,de
1270,1270,bret1244,lith1251,20,438307,937,438516,br,lt
1271,1271,bret1244,latv1249,14,438332,937,438516,br,lv
1272,1272,bret1244,bulg1262,21,436436,935,436645,br,bg
1273,1273,bret1244,czec1258,18,438344,937,438516,br,cs
1274,1274,bret1244,poli1260,21,438331,937,438516,br,pl
1275,1275,bret1244,russ1263,10,438347,937,438516,br,ru
1276,1276,bret1244,west2369,20,438286,937,438516,br,fa
1277,1277,bret1244,basq1248,27,438294,937,438516,br,eu
1278,1278,bret1244,beng1280,12,438298,937,438516,br,bn
1279,1279,bret1244,tami1289,15,438336,937,438516,br,ta
1280,1280,bret1244,telu1262,19,438239,937,438516,br,te
1281,1281,bret1244,veps1250,21,438306,937,438516,br,vep
1282,1282,bret1244,west2392,21,434539,933,434778,br,mrj
1283,1283,bret1244,moks1248,20,437334,936,437580,br,mdf
1284,1284,bret1244,nort2641,15,438277,937,438516,br,ku
1285,1285,bret1244,nucl1235,9,437404,936,437580,br,hy
1286,1286,bret1244,croa1245,9,437393,936,437580,br,hr
1287,1287,bret1244,slov1268,5,437418,936,437580,br,sl
1288,1288,bret1244,slov1269,14,438337,937,438516,br,sk
1289,1289,bret1244,ukra1253,7,438362,937,438516,br,uk
1290,1290,bret1244,bela1254,5,438356,937,438516,br,be
1291,1291,bret1244,icel1247,11,438328,937,438516,br,is
1292,1292,bret1244,norw1258,10,437396,936,437580,br,no
1293,1293,bret1244,nucl1301,17,438286,937,438516,br,tr
1294,1294,bret1244,kaza1248,12,438310,937,438516,br,kk
1295,1295,bret1244,bash1264,21,438280,937,438516,br,ba
1296,1296,bret1244,tata1255,17,438282,937,438516,br,tt
1297,1297,bret1244,chuv1255,15,437305,936,437580,br,cv
1298,1298,bret1244,yaku1245,18,438216,937,438516,br,sah
1299,1299,bret1244,kalm1243,11,437358,936,437580,br,xal
